# Residuals   
# Time        	p_rgh         	Ux            	Uz            	alpha.water   	k             	omega         
0             	N/A	N/A	N/A	N/A	N/A
0.147097      	2.870112e-06	1.555037e-03	1.969098e-03	1.235280e-07	1.461565e-03	4.269897e-03
0.147742      	3.139297e-06	1.551836e-03	1.960153e-03	1.229012e-07	1.446432e-03	4.224536e-03
0.148387      	2.968954e-06	1.546298e-03	1.954219e-03	1.231859e-07	1.430580e-03	4.179389e-03
0.149032      	2.897889e-06	1.542827e-03	1.948145e-03	1.234884e-07	1.416790e-03	4.135259e-03
0.149677      	2.840073e-06	1.538808e-03	1.942953e-03	1.236641e-07	1.405943e-03	4.091654e-03
0.150323      	3.246536e-06	1.534477e-03	1.936459e-03	1.242381e-07	1.396618e-03	4.049493e-03
0.150968      	2.887440e-06	1.530957e-03	1.929959e-03	1.238604e-07	1.388299e-03	4.008214e-03
0.151613      	3.736040e-06	1.526787e-03	1.923258e-03	1.231462e-07	1.380044e-03	3.966899e-03
0.152258      	3.230389e-06	1.522052e-03	1.919585e-03	1.229157e-07	1.372080e-03	3.926550e-03
0.152903      	2.914111e-06	1.517718e-03	1.915527e-03	1.223564e-07	1.363119e-03	3.886751e-03
0.153548      	3.299239e-06	1.515062e-03	1.913588e-03	1.221047e-07	1.354890e-03	3.847227e-03
0.154194      	2.981761e-06	1.511904e-03	1.913941e-03	1.217266e-07	1.347867e-03	3.808977e-03
0.154839      	3.420849e-06	1.509248e-03	1.914940e-03	1.222443e-07	1.341346e-03	3.770488e-03
0.155484      	2.600753e-06	1.504988e-03	1.917911e-03	1.230692e-07	1.335639e-03	3.732627e-03
